Day,Hour,DFI,DNI,GHI,Temperature,kT,Grid Price,Cont Load,Cont Load
1,1,0,0,0,-0.94586792,0,0.0721,0,0.642567641
1,2,0,0,0,-1.495092773,0,0.0721,0,0.533317625
1,3,0,0,0,-1.874517822,0,0.0721,0,0.499238163
1,4,0,0,0,-2.152227783,0,0.0721,0,0.497171481
1,5,0,0,0,-2.345404053,0,0.0721,0,0.506718908
1,6,0,0,0,-2.411077881,0,0.0721,0,0.566398997
1,7,0,0,0,-2.157202148,0,0.0721,0,0.795969391
1,8,0,0,0,-0.543432617,0,0.0721,0,1.098690259
1,9,29,0,29,2.308953857,0.020536726,0.0721,0,1.028724344
1,10,117,8,120,4.746392822,0.084979558,0.0721,0,0.877767974
1,11,165,421,353,6.449029541,0.249981532,0.0721,0,0.871752881
1,12,88,0,88,7.652978516,0.062318342,0.2206,0,0.882123098
1,13,142,0,142,8.161676025,0.100559143,0.2206,0,0.862598906
1,14,246,177,339,8.069116211,0.24006725,0.2206,0,0.835623927
1,15,206,170,283,7.544763184,0.200410123,0.2206,0,0.831356819
1,16,136,61,156,6.387139893,0.110473425,0.2206,0,0.891545084
1,17,57,0,57,4.356835938,0.04036529,0.2206,0,1.119593078
1,18,0,0,0,2.665032959,0,0.2206,0,1.53810911
1,19,0,0,0,1.89800415,0,0.2206,0,1.811788512
1,20,0,0,0,1.365380859,0,0.2206,0,1.762817728
1,21,0,0,0,1.045281982,0,0.0721,0,1.634983069
1,22,0,0,0,0.872277832,0,0.0721,0,1.49386948
1,23,0,0,0,0.70736084,0,0.0721,0,1.209909129
1,24,0,0,0,0.395043945,0,0.0721,0,0.922428871
2,1,0,0,0,-0.098547363,0,0.0721,0,0.635993957
2,2,0,0,0,-0.622259521,0,0.0721,0,0.527218759
2,3,0,0,0,-1.019750977,0,0.0721,0,0.485139683
2,4,0,0,0,-1.265325928,0,0.0721,0,0.480229638
2,5,0,0,0,-1.400793457,0,0.0721,0,0.487740983
2,6,0,0,0,-1.453619385,0,0.0721,0,0.543698774
2,7,0,0,0,-1.33649292,0,0.0721,0,0.749608246
2,8,0,0,0,0.057946777,0,0.0721,0,1.042558441
2,9,45,558,136,2.773370361,0.096311533,0.0721,0,0.975821428
2,10,67,774,318,5.951867676,0.225199025,0.0721,0,0.822568763
2,11,79,870,469,8.947320557,0.332133153,0.0721,0,0.814913808
2,12,86,915,567,10.84304199,0.40153411,0.2206,0,0.829634338
2,13,88,929,603,11.66021118,0.42702834,0.2206,0,0.814788399
2,14,86,917,572,11.65273438,0.405074976,0.2206,0,0.792035895
2,15,80,876,479,10.93798218,0.339214883,0.2206,0,0.792231247
2,16,68,786,332,9.421014404,0.235113447,0.2206,0,0.854486111
