Day,Hour,DFI,DNI,GHI,Amb Temp,,Grid Price,Cont Load,Cont Load,,,,,,,,,,
1,1,0,0,0,10.33690796,,331,0,0.642567641,,,,,,,,,,
1,2,0,0,0,9.975244141,,331,0,0.533317625,,,,,,,,,,
1,3,0,0,0,9.54039917,,331,0,0.499238163,,,,,,,,,,
1,4,0,0,0,9.072076416,,331,0,0.497171481,,,,,,,,,,
1,5,0,0,0,8.641107178,,331,0,0.506718908,,,,,,,,,,
1,6,0,0,0,8.265252686,,331,0,0.566398997,,,,,,,,,,
1,7,0,0,0,7.92913208,,331,0,0.795969391,,,,,,,,,,
1,8,0,0,0,8.727563477,,331,0,1.098690259,,,,,,,,,,
1,9,40,599,138,10.82311401,,331,0,1.028724344,,,,,,,,,,
1,10,59,803,319,13.54485474,,331,0,0.877767974,,,,,,,,,,
1,11,69,892,468,17.01836548,,331,0,0.871752881,,,,,,,,,,
1,12,75,934,565,20.12716064,,331,0,0.882123098,,,,,,,,,,
1,13,76,946,600,21.84697876,,331,0,0.862598906,,,,,,,,,,
1,14,75,934,569,22.38079224,,331,0,0.835623927,,,,,,,,,,
1,15,70,893,475,21.93331299,,331,0,0.831356819,,,,,,,,,,
1,16,60,808,329,20.0536438,,331,0,0.891545084,,,,,,,,,,
1,17,42,616,150,17.02422485,,331,0,1.119593078,,,,,,,,,,
1,18,0,0,0,14.79644165,,331,0,1.53810911,,,,,,,,,,
1,19,0,0,0,13.64891968,,331,0,1.811788512,,,,,,,,,,
1,20,0,0,0,12.59938965,,331,0,1.762817728,,,,,,,,,,
1,21,0,0,0,11.52956543,,331,0,1.634983069,,,,,,,,,,
1,22,0,0,0,10.44594727,,331,0,1.49386948,,,,,,,,,,
1,23,0,0,0,9.519525146,,331,0,1.209909129,,,,,,,,,,
1,24,0,0,0,8.739556885,,331,0,0.922428871,,,,,,,,,,
2,1,0,0,0,8.075189209,,331,0,0.635993957,,,,,,,,,,
2,2,0,0,0,7.678063965,,331,0,0.527218759,,,,,,,,,,
2,3,0,0,0,7.557366943,,331,0,0.485139683,,,,,,,,,,
2,4,0,0,0,7.525140381,,331,0,0.480229638,,,,,,,,,,
2,5,0,0,0,7.52980957,,331,0,0.487740983,,,,,,,,,,
2,6,0,0,0,7.619256592,,331,0,0.543698774,,,,,,,,,,
2,7,0,0,0,7.907861328,,331,0,0.749608246,,,,,,,,,,
2,8,0,0,0,9.354180908,,331,0,1.042558441,,,,,,,,,,
2,9,40,607,140,12.41466675,,331,0,0.975821428,,,,,,,,,,
2,10,59,809,321,16.25802002,,331,0,0.822568763,,,,,,,,,,
2,11,69,897,471,19.86989746,,331,0,0.814913808,,,,,,,,,,
2,12,75,937,568,22.31298218,,331,0,0.829634338,,,,,,,,,,
2,13,76,949,603,23.52327881,,331,0,0.814788399,,,,,,,,,,
2,14,75,937,572,23.87984619,,331,0,0.792035895,,,,,,,,,,
2,15,70,898,479,23.35326538,,331,0,0.792231247,,,,,,,,,,
2,16,82,608,286,21.39647827,,331,0,0.854486111,,,,,,,,,,
2,17,58,323,115,18.58864746,,331,0,1.083675159,,,,,,,,,,
2,18,0,0,0,16.77312622,,331,0,1.50275718,,,,,,,,,,
2,19,0,0,0,15.88222656,,331,0,1.777478196,,,,,,,,,,
2,20,0,0,0,15.04299316,,331,0,1.728572974,,,,,,,,,,
2,21,0,0,0,14.2958313,,331,0,1.600127698,,,,,,,,,,
2,22,0,0,0,13.49074707,,331,0,1.458262622,,,,,,,,,,
2,23,0,0,0,12.46691284,,331,0,1.181615917,,,,,,,,,,
2,24,0,0,0,11.36690674,,331,0,0.906894026,,,,,,,,,,
3,1,0,0,0,10.38588867,,331,0,0.639387689,,,,,,,,,,
3,2,0,0,0,9.708642578,,331,0,0.541886958,,,,,,,,,,
3,3,0,0,0,9.390374756,,331,0,0.508783035,,,,,,,,,,
3,4,0,0,0,9.234338379,,331,0,0.503727159,,,,,,,,,,
3,5,0,0,0,9.115441895,,331,0,0.509233861,,,,,,,,,,
3,6,0,0,0,9.035821533,,331,0,0.562795063,,,,,,,,,,
3,7,0,0,0,9.093896484,,331,0,0.75471374,,,,,,,,,,
3,8,0,0,0,10.2612854,,331,0,1.06187475,,,,,,,,,,
3,9,40,595,137,12.83345947,,331,0,0.988257941,,,,,,,,,,
3,10,59,801,318,16.14956055,,331,0,0.826396787,,,,,,,,,,
3,11,69,892,469,19.51107178,,331,0,0.819110894,,,,,,,,,,
3,12,74,935,567,21.93590698,,331,0,0.829634338,,,,,,,,,,
3,13,76,949,604,23.18111572,,331,0,0.814788399,,,,,,,,,,
3,14,75,939,575,23.3539978,,331,0,0.792035895,,,,,,,,,,
3,15,70,901,482,22.50420532,,331,0,0.792231247,,,,,,,,,,
3,16,60,817,336,20.40371094,,331,0,0.854486111,,,,,,,,,,
3,17,43,630,156,17.31206665,,331,0,1.083675159,,,,,,,,,,
3,18,0,0,0,15.04876099,,331,0,1.50275718,,,,,,,,,,
3,19,0,0,0,13.98311768,,331,0,1.777478196,,,,,,,,,,
3,20,0,0,0,13.15160522,,331,0,1.728572974,,,,,,,,,,
3,21,0,0,0,12.46816406,,331,0,1.600127698,,,,,,,,,,
3,22,0,0,0,11.87401733,,331,0,1.458262622,,,,,,,,,,
3,23,0,0,0,11.39144287,,331,0,1.181615917,,,,,,,,,,
3,24,0,0,0,10.99074707,,331,0,0.906894026,,,,,,,,,,
4,1,0,0,0,10.66945801,,331,0,0.640132828,,,,,,,,,,
4,2,0,0,0,10.39876709,,331,0,0.54334099,,,,,,,,,,
4,3,0,0,0,10.07717285,,331,0,0.512714778,,,,,,,,,,
4,4,0,0,0,9.753625488,,331,0,0.51202163,,,,,,,,,,
4,5,0,0,0,9.535119629,,331,0,0.520324594,,,,,,,,,,
4,6,0,0,0,9.386193848,,331,0,0.575500456,,,,,,,,,,
4,7,0,0,0,9.257165527,,331,0,0.796507517,,,,,,,,,,
4,8,0,0,0,10.18529663,,331,0,1.063999488,,,,,,,,,,
4,9,59,183,89,12.60769043,,331,0,0.998187878,,,,,,,,,,
4,10,116,357,232,15.71929321,,331,0,0.839781905,,,,,,,,,,
4,11,188,296,321,18.5989624,,331,0,0.836989869,,,,,,,,,,
4,12,186,506,453,20.24529419,,331,0,0.829634338,,,,,,,,,,
4,13,165,607,504,20.74068604,,331,0,0.814788399,,,,,,,,,,
4,14,156,604,479,20.58391724,,331,0,0.792035895,,,,,,,,,,
4,15,69,896,482,19.82286987,,331,0,0.792231247,,,,,,,,,,
4,16,60,814,337,18.07613525,,331,0,0.854486111,,,,,,,,,,
4,17,43,630,158,15.37590942,,331,0,1.083675159,,,,,,,,,,
4,18,0,0,0,13.32415161,,331,0,1.50275718,,,,,,,,,,
4,19,0,0,0,12.32344971,,331,0,1.777478196,,,,,,,,,,
4,20,0,0,0,11.52147827,,331,0,1.728572974,,,,,,,,,,
4,21,0,0,0,10.90932617,,331,0,1.600127698,,,,,,,,,,
4,22,0,0,0,10.39324341,,331,0,1.458262622,,,,,,,,,,
4,23,0,0,0,9.827050781,,331,0,1.181615917,,,,,,,,,,
4,24,0,0,0,9.043878174,,331,0,0.906894026,,,,,,,,,,
5,1,0,0,0,7.778283691,,331,0,0.636468899,,,,,,,,,,
5,2,0,0,0,6.277429199,,331,0,0.539640481,,,,,,,,,,
5,3,0,0,0,5.12243042,,331,0,0.511874707,,,,,,,,,,
5,4,0,0,0,4.290307617,,331,0,0.513911946,,,,,,,,,,
5,5,0,0,0,3.551965332,,331,0,0.519185202,,,,,,,,,,
5,6,0,0,0,2.944848633,,331,0,0.577349292,,,,,,,,,,
5,7,0,0,0,2.600335693,,331,0,0.799006089,,,,,,,,,,
5,8,0,0,0,3.583734131,,331,0,1.068326845,,,,,,,,,,
5,9,41,659,149,6.41854248,,331,0,0.99843759,,,,,,,,,,
5,10,60,860,339,10.24889526,,331,0,0.839260695,,,,,,,,,,
